low_spl,site
116.4942263,M2
118.8417609,M2
121.1469567,M2
122.0164318,M2
116.6194307,M2
120.1730789,M2
116.8501031,M2
102.228066,M2
92.63586017,M2
95.8738317,M2
100.223963,M2
104.1589502,M2
102.8608484,M2
107.016722,M2
114.9390179,M2
116.6364071,M2
119.8106494,M2
118.0211745,M2
120.2915571,M2
119.902494,M2
119.6026578,M2
104.283197,C2
105.8978528,C2
103.4590279,C2
105.5744523,C2
104.3536389,C2
104.0807274,C2
104.309855,C2
101.3835375,C2
104.9359463,C2
106.9536056,C2
116.4044192,C2
118.0286362,C2
119.2852634,C2
118.204139,C2
120.2837409,C2
119.1277754,C2
109.6581706,C2
105.5242528,C2
104.4684002,C2
108.0890761,C2
105.1796883,C2
104.8544992,C2
104.4156579,C2
102.0876446,C2
104.9954586,C2
113.2489418,C2
114.4557602,C2
117.3700536,C2
116.993094,C2
116.4928103,C2
117.3074529,C2
114.299469,C2
116.3366961,C2
111.2882888,C2
104.4491127,C2
104.6121916,C2
105.9311102,C2
106.4741744,C2
103.7682663,C2
104.6769133,C2
107.2431025,C2
104.5253337,C2
102.7962859,C2
106.6277292,C2
110.4695072,C2
110.7057911,C2
108.01598,C2
109.4186529,C2
109.2518719,C2
108.470252,C2
106.6308012,C2
104.7043476,C2
106.7454281,C2
105.2951725,C2
101.5623285,C2
101.3510688,C2
106.5123986,C2
105.5354521,C2
105.698608,C2
109.4751001,C2
108.9662554,C2
103.0009005,C2
104.4429424,C2
106.5163681,C2
104.7086473,C2
107.2466835,C2
105.3527928,C2
106.1827278,C2
86.77510669,S2
83.91766217,S2
84.22429998,S2
84.68494013,S2
87.19125607,S2
89.88114081,S2
87.8599887,S2
89.12285312,S2
89.72152474,S2
92.10391633,S2
94.23078827,S2
93.83511553,S2
94.47706711,S2
89.99168919,S2
88.80864125,S2
87.42731813,S2
86.66589677,S2
84.51326672,S2
85.51816608,S2
87.08766839,S2
87.95012048,S2
90.08012116,S2
90.83365517,S2
91.21649156,S2
91.4210112,S2
94.92824675,S2
92.80776632,S2
92.49323141,S2
93.0665424,S2
92.45919815,S2
90.86593733,S2
88.88515856,S2
87.19285101,S2
86.12714118,S2
88.37005613,S2
87.7723598,S2
91.44619475,S2
92.6381289,S2
93.46724374,S2
95.18851479,S2
93.21250585,S2
93.10036276,S2
94.56449146,S2
93.09715798,S2
93.38232159,S2
89.48785588,S2
87.87563965,S2
88.29983402,S2
88.89480693,S2
85.06126245,S2
86.38739658,S2
112.4544799,S2
93.77865011,S2
92.88274984,S2
92.8036686,S2
91.43380878,S2
91.21191932,S2
92.92765737,S2
95.08711144,S2
95.17861758,S2
92.3728658,S2
93.36131203,S2
92.2760257,S2
90.93520982,S2
88.47567935,S2
86.95054629,S2
83.57799883,S2
84.43422819,S2
94.11128713,S2
94.32490834,S2
94.92444054,S2
93.75334079,S2
95.22705106,S2
96.20181064,S2
95.73702966,S2
96.53748591,S2
93.07326204,S2
92.79782812,S2
94.20578032,S2
87.65028955,S4
85.88368064,S4
82.80361776,S4
87.99624754,S4
88.06627156,S4
86.60922945,S4
89.28096003,S4
89.9260603,S4
92.88074296,S4
94.38455321,S4
99.12427482,S4
94.63702232,S4
103.5919188,S4
92.5168236,S4
100.3324892,S4
89.88626885,S4
95.47963362,S4
86.11996979,S4
89.96430178,S4
